global_id	name	name_id	name_prefix	image_id	rarity	alignment	min_rarity	base_id	desc	base_atk	base_def	pwr_req	gender	faction	silver	ability	usage	effect	max_level	max_mastery
1000780	Does Not Exist
1000790	Does Not Exist
1000800	Does Not Exist
1000810	Does Not Exist
1000820	Does Not Exist
1000830	Does Not Exist
1000840	Does Not Exist
1000850	Does Not Exist
1000860	Does Not Exist
1000870	Does Not Exist
1000880	Does Not Exist
1000890	Does Not Exist
1000900	Does Not Exist
1000910	Does Not Exist
1000920	Does Not Exist
1000930	Does Not Exist
1000940	Does Not Exist
1000950	Does Not Exist
1000960	Does Not Exist
1000970	Does Not Exist
1000980	Does Not Exist
1000990	Does Not Exist
1001000	Does Not Exist
1001010	Does Not Exist
1001020	Does Not Exist
1001030	Does Not Exist
1001040	Does Not Exist
1001050	Does Not Exist
1001060	Does Not Exist
1001070	Does Not Exist
1001080	Does Not Exist
1001090	Does Not Exist
1001100	Does Not Exist
1001110	Does Not Exist
1001120	Does Not Exist
1001130	Does Not Exist
1001140	Does Not Exist
1001150	Does Not Exist
1001160	Does Not Exist
1001170	Does Not Exist
1001180	Does Not Exist
1001190	Does Not Exist
1001200	Does Not Exist
1001210	Does Not Exist
1001220	Does Not Exist
1001230	Does Not Exist
1001240	Does Not Exist
1001250	Does Not Exist
1001260	Does Not Exist
1001270	Does Not Exist
1001280	Does Not Exist
1001290	Does Not Exist
1001300	Does Not Exist
1001310	Does Not Exist
1001320	Does Not Exist
1001330	Does Not Exist
1001340	Does Not Exist
1001350	Does Not Exist
1001360	Does Not Exist
1001370	Does Not Exist
1001380	Does Not Exist
1001390	Does Not Exist
1001400	Does Not Exist
1001410	Does Not Exist
1001420	Does Not Exist
1001430	Does Not Exist
1001440	Does Not Exist
1001450	Does Not Exist
1001460	Does Not Exist
1001470	Does Not Exist
1001480	Does Not Exist
1001490	Does Not Exist
1001500	Does Not Exist
1001510	Does Not Exist
1001520	Does Not Exist
1001530	Does Not Exist
1001540	Does Not Exist
1001550	Does Not Exist
1001560	Does Not Exist
1001570	Does Not Exist
1001580	Does Not Exist
1001590	Does Not Exist
1001600	Does Not Exist
1001610	Does Not Exist
1001620	Does Not Exist
1001630	Does Not Exist
1001640	Does Not Exist
1001650	Does Not Exist
1001660	Does Not Exist
1001670	Does Not Exist
1001680	Does Not Exist
1001690	Does Not Exist
1001700	Does Not Exist
1001710	Does Not Exist
1001720	Does Not Exist
1001730	Does Not Exist
1001740	Does Not Exist
1001750	Does Not Exist
1001760	Does Not Exist
1001770	Does Not Exist
1001780	Does Not Exist
1001790	Does Not Exist
1001800	Does Not Exist
1001810	Does Not Exist
1001820	Does Not Exist
1001830	Does Not Exist
1001840	Does Not Exist
1001850	Does Not Exist
1001860	Does Not Exist
1001870	Does Not Exist
1001880	Does Not Exist
1001890	Does Not Exist
1001900	Does Not Exist
1001910	Does Not Exist
1001920	Does Not Exist
1001930	Does Not Exist
1001940	Does Not Exist
1001950	Does Not Exist
1001960	Does Not Exist
1001970	Does Not Exist
1001980	Does Not Exist
1001990	Does Not Exist
1100781	Does Not Exist
1100791	Does Not Exist
1100801	Does Not Exist
1100811	Does Not Exist
1100821	Does Not Exist
1100831	Does Not Exist
1100841	Does Not Exist
1100851	Does Not Exist
1100861	Does Not Exist
1100871	Does Not Exist
1100881	Does Not Exist
1100891	Does Not Exist
1100901	Does Not Exist
1100911	Does Not Exist
1100921	Does Not Exist
1100931	Does Not Exist
1100941	Does Not Exist
1100951	Does Not Exist
1100961	Does Not Exist
1100971	Does Not Exist
1100981	Does Not Exist
1100991	Does Not Exist
1101001	Does Not Exist
1101011	Does Not Exist
1101021	Does Not Exist
1101031	Does Not Exist
1101041	Does Not Exist
1101051	Does Not Exist
1101061	Does Not Exist
1101071	Does Not Exist
1101081	Does Not Exist
1101091	Does Not Exist
1101101	Does Not Exist
1101111	Does Not Exist
1101121	Does Not Exist
1101131	Does Not Exist
1101141	Does Not Exist
1101151	Does Not Exist
1101161	Does Not Exist
1101171	Does Not Exist
1101181	Does Not Exist
1101191	Does Not Exist
1101201	Does Not Exist
1101211	Does Not Exist
1101221	Does Not Exist
1101231	Does Not Exist
1101241	Does Not Exist
1101251	Does Not Exist
1101261	Does Not Exist
1101271	Does Not Exist
1101281	Does Not Exist
1101291	Does Not Exist
1101301	Does Not Exist
1101311	Does Not Exist
1101321	Does Not Exist
1101331	Does Not Exist
1101341	Does Not Exist
1101351	Does Not Exist
1101361	Does Not Exist
1101371	Does Not Exist
1101381	Does Not Exist
1101391	Does Not Exist
1101401	Does Not Exist
1101411	Does Not Exist
1101421	Does Not Exist
1101431	Does Not Exist
1101441	Does Not Exist
1101451	Does Not Exist
1101461	Does Not Exist
1101471	Does Not Exist
1101481	Does Not Exist
1101491	Does Not Exist
1101501	Does Not Exist
1101511	Does Not Exist
1101521	Does Not Exist
1101531	Does Not Exist
1101541	Does Not Exist
1101551	Does Not Exist
1101561	Does Not Exist
1101571	Does Not Exist
1101581	Does Not Exist
1101591	Does Not Exist
1101601	Does Not Exist
1101611	Does Not Exist
1101621	Does Not Exist
1101631	Does Not Exist
1101641	Does Not Exist
1101651	Does Not Exist
1101661	Does Not Exist
1101671	Does Not Exist
1101681	Does Not Exist
1101691	Does Not Exist
1101701	Does Not Exist
1101711	Does Not Exist
1101721	Does Not Exist
1101731	Does Not Exist
1101741	Does Not Exist
1101751	Does Not Exist
1101761	Does Not Exist
1101771	Does Not Exist
1101781	Does Not Exist
1101791	Does Not Exist
1101801	Does Not Exist
1101811	Does Not Exist
1101821	Does Not Exist
1101831	Does Not Exist
1101841	Does Not Exist
1101851	Does Not Exist
1101861	Does Not Exist
1101871	Does Not Exist
1101881	Does Not Exist
1101891	Does Not Exist
1101901	Does Not Exist
1101911	Does Not Exist
1101921	Does Not Exist
1101931	Does Not Exist
1101941	Does Not Exist
1101951	Does Not Exist
